# data/collection.txt
#
# Mapping of publication collection to department(s) of publication author(s).

# COMMUNITY                                         # COLLECTION NAME                                                   # NORMALIZED DEPARTMENT NAME(S)
College of Arts & Sciences                          | ~ GENERAL, College of Arts & Sciences                             | Arts & Sciences; Dean's Office, College of Arts & Sciences; Learning Design and Technology; Undergraduate; Undergraduate Academic Programs and Admin; Visiting Scholar
School of Medicine                                  | ~ GENERAL, School of Medicine                                     | Medicine; Dean's Office, School of Medicine; Dean's Office, Medical Center; Admin; Beirne B. Carter Center for Immunology Research; Cancer Center; Center for Advanced Vision Science; Center for Diabetes Technology; Center for Membrane and Cell Physiology; Center for Public Health Genomics; Curriculum; Diversity Programs; EVP for Health Affairs; General Administration; Health Analytics; Medical Educational Affairs Admin; Medical Research Administration; Medical Student Affairs; Midlife Health; Public Health Sciences; Research & Clinical Trial Analytics
School of Medicine                                  |   Anesthesiology                                                  | Anesthesiology
School of Medicine                                  |   Biochemistry and Molecular Genetics                             | Biochemistry and Molecular Genetics
School of Medicine                                  |   Dermatology                                                     | Dermatology
School of Medicine                                  |   Family Medicine                                                 | Family Medicine
School of Medicine                                  |   Health Sciences Library                                         | Health Sciences Library
School of Medicine                                  |   Hematology-Oncology                                             | Hematology-Oncology
School of Medicine                                  |   Infectious Diseases                                             | Infectious Diseases
School of Medicine                                  |   Medicine                                                        | Medicine
School of Medicine                                  |   Microbiology                                                    | Microbiology
School of Medicine                                  |   Molecular Physiology and Biological Physics                     | Molecular Physiology and Biological Physics
School of Medicine                                  |   Nephrology                                                      | Nephrology
School of Medicine                                  |   Neurology                                                       | Neurology
School of Medicine                                  |   Neuroscience                                                    | Neuroscience
School of Medicine                                  |   Ophthalmology                                                   | Ophthalmology
School of Medicine                                  |   Orthopaedic Surgery                                             | Orthopaedic Surgery
School of Medicine                                  |   Pathology                                                       | Pathology; Experimental Pathology
School of Medicine                                  |   Psychiatry and Neurobehavioral Sciences                         | Psychiatry and Neurobehavioral Sciences; Inpatient Psychiatry
School of Medicine                                  |   Radiation Oncology                                              | Radiation Oncology
School of Medicine                                  |   Radiology and Medical Imaging                                   | Radiology
School of Medicine                                  |   Surgery                                                         | Surgery; Research
School of Nursing                                   | ~ GENERAL, School of Nursing                                      | Nursing; Administrative Operations
~ Other UVA                                         | ~ GENERAL, Other UVA                                              | University of Virginia; SCPS; Scps
~ Other UVA                                         |   UVA Wise                                                        | UVAWise-History & Philosophy; UVAWise-Library
~ Other UVA                                         |   Research Computing                                              | Research Computing; Centers for Computation Intensive Research & Scholarship
~ Other UVA                                         |   Student Affairs                                                 | Career Center; Dean of Students; LNEC Accommodations; Newcomb Hall and UPC; Orientation; Student Disability Access Center; VP Office
~ Other UVA                                         |   Facilities Management                                           | Project & Construction Management
~ Other UVA                                         |   Faculty                                                         | 2021 University of Virginia Faculty Senate
~ Other UVA                                         |   Library                                                         | UVA Library; Dean's Office, University Library; Scholarly Communication; Teaching & Learning Services; Library IT General; Scholars Lab; Research & Learning Services; Project Management; Research Data Svcs & Social Natl & Engng Science Svs; Arts & Humanities Services; Software Development; Univ Librarian-General
~ Other UVA                                         |   Academic Preservation Trust                                     | Academic Preservation Trust
~ Other UVA                                         |   Provost                                                         | Center for Teaching Excellence; Office of Graduate and Postdoctoral Affairs; Student Financial Services; Summer and Special Academic Programs; Vice Prov-Global Affairs
~ Other UVA                                         |   Biocomplexity Institute                                         | Biocomplexity Institute; Network Systems Science and Advanced Computing; Social and Decision Analytics
~ Other UVA                                         |   integrated Translational Health Research Institute of Virginia  | iTHRIV
~ Other UVA                                         |   Karsh Institute of Democracy                                    | Academic Initiatives; Democracy Initiative; Democracy Labs; Equity Center
~ Other UVA                                         |   Virginia Foundation for the Humanities                          | Virginia Foundation for the Humanities
~ Other UVA                                         |   Weldon Cooper Center for Public Service                         | Weldon Cooper Center for Public Service; Institute for Engagement and Negotiation
~ Outside UVA                                       | ~ GENERAL, Outside UVA                                            |
